Country,Cases,year,month,day,quarter,date,year_month
Brunei,0.0,2020,7,25,3,2020-07-25 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,26,3,2020-07-26 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,27,3,2020-07-27 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,28,3,2020-07-28 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,29,3,2020-07-29 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,30,3,2020-07-30 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,31,3,2020-07-31 00:00:00+00:00,2020-07
Brunei,0.0,2020,8,1,3,2020-08-01 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,2,3,2020-08-02 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,3,3,2020-08-03 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,4,3,2020-08-04 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,5,3,2020-08-05 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,6,3,2020-08-06 00:00:00+00:00,2020-08
Brunei,1.0,2020,8,7,3,2020-08-07 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,8,3,2020-08-08 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,9,3,2020-08-09 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,10,3,2020-08-10 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,11,3,2020-08-11 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,12,3,2020-08-12 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,13,3,2020-08-13 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,14,3,2020-08-14 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,15,3,2020-08-15 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,16,3,2020-08-16 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,17,3,2020-08-17 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,18,3,2020-08-18 00:00:00+00:00,2020-08
Brunei,1.0,2020,8,19,3,2020-08-19 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,20,3,2020-08-20 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,21,3,2020-08-21 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,22,3,2020-08-22 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,23,3,2020-08-23 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,24,3,2020-08-24 00:00:00+00:00,2020-08
Brunei,1.0,2020,8,25,3,2020-08-25 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,26,3,2020-08-26 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,27,3,2020-08-27 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,28,3,2020-08-28 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,29,3,2020-08-29 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,30,3,2020-08-30 00:00:00+00:00,2020-08
Brunei,0.0,2020,8,31,3,2020-08-31 00:00:00+00:00,2020-08
Brunei,0.0,2020,9,1,3,2020-09-01 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,2,3,2020-09-02 00:00:00+00:00,2020-09
Brunei,1.0,2020,9,3,3,2020-09-03 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,4,3,2020-09-04 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,5,3,2020-09-05 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,6,3,2020-09-06 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,7,3,2020-09-07 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,8,3,2020-09-08 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,9,3,2020-09-09 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,10,3,2020-09-10 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,11,3,2020-09-11 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,12,3,2020-09-12 00:00:00+00:00,2020-09
Brunei,0.0,2020,9,13,3,2020-09-13 00:00:00+00:00,2020-09
